Temperatura,Potencia Bombilla,Potencia Ventilador,Fecha
22.77,0,0,2025-09-04 17:15:07
22.61,0,0,2025-09-04 17:15:08
22.77,0,0,2025-09-04 17:15:09
23.26,0,0,2025-09-04 17:15:10
22.69,0,0,2025-09-04 17:15:11
23.9,100,0,2025-09-04 17:15:12
23.26,100,0,2025-09-04 17:15:13
23.26,100,0,2025-09-04 17:15:14
23.5,100,0,2025-09-04 17:15:15
23.5,100,0,2025-09-04 17:15:16
23.42,100,0,2025-09-04 17:15:17
23.74,100,0,2025-09-04 17:15:18
23.9,100,0,2025-09-04 17:15:19
23.5,100,0,2025-09-04 17:15:20
23.58,100,0,2025-09-04 17:15:21
23.99,100,0,2025-09-04 17:15:22
23.66,100,0,2025-09-04 17:15:23
23.66,100,0,2025-09-04 17:15:24
23.74,100,0,2025-09-04 17:15:25
23.82,100,0,2025-09-04 17:15:26
23.82,100,0,2025-09-04 17:15:27
23.9,100,0,2025-09-04 17:15:28
23.66,100,0,2025-09-04 17:15:29
23.82,100,0,2025-09-04 17:15:30
23.74,100,0,2025-09-04 17:15:31
23.9,100,0,2025-09-04 17:15:32
23.9,100,0,2025-09-04 17:15:33
23.9,100,0,2025-09-04 17:15:34
24.07,100,0,2025-09-04 17:15:35
23.99,100,0,2025-09-04 17:15:36
24.07,100,0,2025-09-04 17:15:37
24.31,100,0,2025-09-04 17:15:38
24.15,100,0,2025-09-04 17:15:39
23.99,100,0,2025-09-04 17:15:40
23.99,100,0,2025-09-04 17:15:41
24.31,100,0,2025-09-04 17:15:42
24.07,100,0,2025-09-04 17:15:43
24.07,100,0,2025-09-04 17:15:44
24.07,100,0,2025-09-04 17:15:45
23.74,100,0,2025-09-04 17:15:46
24.55,100,0,2025-09-04 17:15:47
24.31,100,0,2025-09-04 17:15:48
24.55,100,0,2025-09-04 17:15:49
24.31,100,0,2025-09-04 17:15:50
24.31,100,0,2025-09-04 17:15:51
24.23,100,0,2025-09-04 17:15:52
24.23,100,0,2025-09-04 17:15:53
24.31,100,0,2025-09-04 17:15:54
24.39,100,0,2025-09-04 17:15:55
24.39,100,0,2025-09-04 17:15:56
24.23,100,0,2025-09-04 17:15:57
24.31,100,0,2025-09-04 17:15:58
24.55,100,0,2025-09-04 17:15:59
24.72,100,0,2025-09-04 17:16:00
24.47,100,0,2025-09-04 17:16:01
24.31,100,0,2025-09-04 17:16:02
24.15,100,0,2025-09-04 17:16:03
24.31,100,0,2025-09-04 17:16:04
24.47,100,0,2025-09-04 17:16:05
24.72,100,0,2025-09-04 17:16:06
24.47,100,0,2025-09-04 17:16:07
24.72,100,0,2025-09-04 17:16:08
24.8,100,0,2025-09-04 17:16:09
24.63,100,0,2025-09-04 17:16:10
24.55,100,0,2025-09-04 17:16:11
25.12,100,0,2025-09-04 17:16:12
25.12,100,0,2025-09-04 17:16:13
24.47,100,0,2025-09-04 17:16:14
24.39,100,0,2025-09-04 17:16:15
