Temperatura,Potencia Bombilla,Potencia Ventilador,Fecha
23.5,0,0,2025-09-04 17:24:56
23.02,0,0,2025-09-04 17:24:57
23.26,0,0,2025-09-04 17:24:58
23.26,0,0,2025-09-04 17:24:59
23.34,0,0,2025-09-04 17:25:00
24.47,100,0,2025-09-04 17:25:01
24.23,100,0,2025-09-04 17:25:02
24.15,100,0,2025-09-04 17:25:03
24.72,100,0,2025-09-04 17:25:04
24.39,100,0,2025-09-04 17:25:05
23.9,100,0,2025-09-04 17:25:06
24.07,100,0,2025-09-04 17:25:07
24.55,100,0,2025-09-04 17:25:08
24.07,100,0,2025-09-04 17:25:09
24.55,100,0,2025-09-04 17:25:10
24.63,100,0,2025-09-04 17:25:11
24.39,100,0,2025-09-04 17:25:12
24.8,100,0,2025-09-04 17:25:13
25.2,100,0,2025-09-04 17:25:14
24.96,100,0,2025-09-04 17:25:15
24.15,100,0,2025-09-04 17:25:16
23.5,100,0,2025-09-04 17:25:17
24.47,100,0,2025-09-04 17:25:18
24.63,100,0,2025-09-04 17:25:19
24.8,100,0,2025-09-04 17:25:20
24.55,100,0,2025-09-04 17:25:21
24.47,100,0,2025-09-04 17:25:22
24.63,100,0,2025-09-04 17:25:23
24.88,100,0,2025-09-04 17:25:24
25.04,100,0,2025-09-04 17:25:25
24.96,100,0,2025-09-04 17:25:26
24.63,100,0,2025-09-04 17:25:27
24.72,100,0,2025-09-04 17:25:28
24.72,100,0,2025-09-04 17:25:29
24.8,100,0,2025-09-04 17:25:30
25.04,100,0,2025-09-04 17:25:31
24.8,100,0,2025-09-04 17:25:32
24.96,100,0,2025-09-04 17:25:33
24.88,100,0,2025-09-04 17:25:34
25.04,100,0,2025-09-04 17:25:35
24.72,100,0,2025-09-04 17:25:36
24.88,100,0,2025-09-04 17:25:37
24.96,100,0,2025-09-04 17:25:38
24.88,100,0,2025-09-04 17:25:39
24.96,100,0,2025-09-04 17:25:40
25.29,100,0,2025-09-04 17:25:41
24.96,100,0,2025-09-04 17:25:42
25.2,100,0,2025-09-04 17:25:43
25.61,100,0,2025-09-04 17:25:44
25.12,100,0,2025-09-04 17:25:45
25.2,100,0,2025-09-04 17:25:46
24.88,100,0,2025-09-04 17:25:47
24.96,100,0,2025-09-04 17:25:48
24.88,100,0,2025-09-04 17:25:49
25.45,100,0,2025-09-04 17:25:50
25.04,100,0,2025-09-04 17:25:51
25.2,100,0,2025-09-04 17:25:52
24.39,100,0,2025-09-04 17:25:53
25.69,100,0,2025-09-04 17:25:54
25.2,100,0,2025-09-04 17:25:55
25.53,100,0,2025-09-04 17:25:56
25.45,100,0,2025-09-04 17:25:57
25.69,100,0,2025-09-04 17:25:58
25.29,100,0,2025-09-04 17:25:59
25.37,100,0,2025-09-04 17:26:00
25.53,100,0,2025-09-04 17:26:01
25.61,100,0,2025-09-04 17:26:02
25.86,100,0,2025-09-04 17:26:03
25.45,100,0,2025-09-04 17:26:04
25.45,100,0,2025-09-04 17:26:05
25.37,100,0,2025-09-04 17:26:06
