Temperatura,Potencia Bombilla,Potencia Ventilador,Fecha
22.53,0,0,2025-09-04 16:43:36
22.21,0,0,2025-09-04 16:43:37
22.45,0,0,2025-09-04 16:43:38
22.77,0,0,2025-09-04 16:43:39
23.02,0,0,2025-09-04 16:43:40
22.61,0,0,2025-09-04 16:43:41
22.85,0,0,2025-09-04 16:43:42
22.77,100,0,2025-09-04 16:43:43
22.13,100,0,2025-09-04 16:43:44
22.13,100,0,2025-09-04 16:43:45
22.05,100,0,2025-09-04 16:43:46
22.13,100,0,2025-09-04 16:43:47
21.97,100,0,2025-09-04 16:43:48
22.05,100,0,2025-09-04 16:43:49
21.97,100,0,2025-09-04 16:43:50
21.57,100,0,2025-09-04 16:43:51
22.21,100,0,2025-09-04 16:43:52
22.05,100,0,2025-09-04 16:43:53
21.81,100,0,2025-09-04 16:43:54
21.73,100,0,2025-09-04 16:43:55
22.13,100,0,2025-09-04 16:43:56
21.57,100,0,2025-09-04 16:43:57
21.57,100,0,2025-09-04 16:43:58
21.01,100,0,2025-09-04 16:43:59
22.61,100,0,2025-09-04 16:44:00
22.21,100,0,2025-09-04 16:44:01
21.65,100,0,2025-09-04 16:44:02
21.41,100,0,2025-09-04 16:44:03
21.49,100,0,2025-09-04 16:44:04
21.73,100,0,2025-09-04 16:44:05
21.89,100,0,2025-09-04 16:44:06
22.61,100,0,2025-09-04 16:44:07
22.37,100,0,2025-09-04 16:44:08
22.61,100,0,2025-09-04 16:44:09
22.77,100,0,2025-09-04 16:44:10
22.77,100,0,2025-09-04 16:44:11
22.37,100,0,2025-09-04 16:44:12
22.61,100,0,2025-09-04 16:44:13
22.53,100,0,2025-09-04 16:44:14
22.37,100,0,2025-09-04 16:44:15
22.05,100,0,2025-09-04 16:44:16
22.85,100,0,2025-09-04 16:44:17
22.13,100,0,2025-09-04 16:44:18
22.94,100,0,2025-09-04 16:44:19
21.65,100,0,2025-09-04 16:44:20
22.94,100,0,2025-09-04 16:44:21
21.89,100,0,2025-09-04 16:44:22
