Temperatura,Potencia Bombilla,Potencia Ventilador,Fecha
21.09,0,0,2025-09-04 16:32:13
21.25,0,0,2025-09-04 16:32:14
21.09,0,0,2025-09-04 16:32:15
21.41,0,0,2025-09-04 16:32:16
21.09,0,0,2025-09-04 16:32:17
21.41,100,0,2025-09-04 16:32:18
21.73,100,0,2025-09-04 16:32:19
22.13,100,100,2025-09-04 16:32:20
21.65,100,100,2025-09-04 16:32:21
21.57,100,100,2025-09-04 16:32:22
21.97,100,100,2025-09-04 16:32:23
21.89,100,100,2025-09-04 16:32:24
21.41,100,0,2025-09-04 16:32:25
21.33,100,0,2025-09-04 16:32:26
21.01,100,0,2025-09-04 16:32:27
21.41,100,0,2025-09-04 16:32:28
21.49,100,0,2025-09-04 16:32:29
21.49,100,0,2025-09-04 16:32:30
20.77,100,0,2025-09-04 16:32:31
21.57,100,0,2025-09-04 16:32:32
21.57,100,0,2025-09-04 16:32:33
21.65,100,0,2025-09-04 16:32:34
21.81,100,0,2025-09-04 16:32:35
21.97,100,0,2025-09-04 16:32:36
21.57,100,0,2025-09-04 16:32:37
21.65,100,0,2025-09-04 16:32:38
21.57,100,0,2025-09-04 16:32:39
21.49,100,0,2025-09-04 16:32:40
21.33,100,0,2025-09-04 16:32:41
21.57,100,0,2025-09-04 16:32:42
21.73,100,0,2025-09-04 16:32:43
21.57,100,0,2025-09-04 16:32:44
21.49,100,0,2025-09-04 16:32:45
21.65,100,0,2025-09-04 16:32:46
21.49,100,0,2025-09-04 16:32:47
21.81,100,0,2025-09-04 16:32:48
21.73,100,0,2025-09-04 16:32:49
21.57,100,0,2025-09-04 16:32:50
21.89,100,0,2025-09-04 16:32:51
21.65,100,0,2025-09-04 16:32:52
21.81,100,0,2025-09-04 16:32:53
21.81,100,0,2025-09-04 16:32:54
21.65,100,0,2025-09-04 16:32:55
21.73,100,0,2025-09-04 16:32:56
21.49,100,0,2025-09-04 16:32:57
21.57,100,0,2025-09-04 16:32:58
21.33,100,0,2025-09-04 16:32:59
21.65,100,0,2025-09-04 16:33:00
21.57,100,0,2025-09-04 16:33:01
21.17,100,0,2025-09-04 16:33:02
21.41,100,0,2025-09-04 16:33:03
21.73,100,0,2025-09-04 16:33:04
22.05,100,0,2025-09-04 16:33:05
21.73,100,0,2025-09-04 16:33:06
21.57,100,0,2025-09-04 16:33:07
21.65,100,0,2025-09-04 16:33:08
21.65,100,0,2025-09-04 16:33:09
21.81,100,0,2025-09-04 16:33:10
21.89,100,0,2025-09-04 16:33:11
21.97,100,0,2025-09-04 16:33:12
21.57,100,0,2025-09-04 16:33:13
21.97,100,0,2025-09-04 16:33:14
22.29,100,0,2025-09-04 16:33:15
22.13,100,0,2025-09-04 16:33:16
22.13,100,0,2025-09-04 16:33:17
22.05,100,0,2025-09-04 16:33:18
21.97,100,0,2025-09-04 16:33:19
22.21,100,0,2025-09-04 16:33:20
22.29,100,0,2025-09-04 16:33:21
22.05,100,0,2025-09-04 16:33:22
22.45,100,0,2025-09-04 16:33:23
22.45,100,0,2025-09-04 16:33:24
22.29,100,0,2025-09-04 16:33:25
22.37,100,0,2025-09-04 16:33:26
22.13,100,0,2025-09-04 16:33:27
22.29,100,0,2025-09-04 16:33:28
22.05,100,0,2025-09-04 16:33:29
22.37,100,0,2025-09-04 16:33:30
22.45,100,0,2025-09-04 16:33:31
22.37,100,0,2025-09-04 16:33:32
22.37,100,0,2025-09-04 16:33:33
22.61,100,0,2025-09-04 16:33:34
22.29,100,0,2025-09-04 16:33:35
22.45,100,0,2025-09-04 16:33:36
22.37,100,0,2025-09-04 16:33:37
22.53,100,0,2025-09-04 16:33:38
22.29,100,0,2025-09-04 16:33:39
21.97,100,0,2025-09-04 16:33:40
21.97,100,0,2025-09-04 16:33:41
22.13,100,0,2025-09-04 16:33:42
